Model,Type of device,Brand,Release year,Operating System,OS version,Kernel,UI and version,Comment
Nokia N95,Smartphone,Nokia,2007,Symbian OS,9.2,[empty],S60 3rd Edition  Feature Pack 1  version 3.1,[empty]
Nokia N95 8GB,Smartphone,Nokia,2007,Symbian OS,9.2,[empty],S60 3rd Edition  Feature Pack 1  version 3.1,[empty]
Nokia N96,Smartphone,Nokia,2008,Symbian OS,9.3,[empty],S60 3rd Edition  Feature Pack 2  version 3.2,[empty]
Nokia N97,Smartphone,Nokia,2009,Symbian^1,9.4,EKA2,S60 5th Edition  version 5,[empty]
Nokia N97 mini,Smartphone,Nokia,2009,Symbian^1,9.4,EKA2,S60 5th Edition  version 5,[empty]
Nokia X5-00,Smartphone,Nokia,[empty],Symbian OS,9.3,[empty],S60 3rd Edition  Feature Pack 2  version 3.2,[empty]
Nokia X5-01,Smartphone,Nokia,[empty],Symbian OS,9.3,[empty],S60 3rd Edition  Feature Pack 2  version 3.2,[empty]
Nokia X6-00,Smartphone,Nokia,2009,Symbian^1,9.4,EKA2,S60 5th Edition  version 5,First S60 capacative touchscreen
Nokia N-Gage,Smartphone and game console,Nokia,[empty],Symbian OS,6.1,[empty],S60 1st Edition  Feature Pack 1  version 1.2,[empty]
Nokia N-Gage QD,Smartphone and game console,Nokia,[empty],Symbian OS,6.1,[empty],S60 1st Edition  Feature Pack 1  version 1.2,[empty]
Panasonic X700,Smartphone,Panasonic,[empty],Symbian OS,7.0s,[empty],S60 2nd Edition  version 2,[empty]
Panasonic X800,Smartphone,Panasonic,[empty],Symbian OS,7.0s,[empty],S60 2nd Edition  version 2,[empty]
Samsung i8910,Smartphone,Samsung,[empty],Symbian^1,9.4,EKA2,S60 5th Edition  version 5,[empty]
Samsung SGH-D720,Smartphone,Samsung,[empty],Symbian OS,7.0s,[empty],S60 2nd Edition  version 2,[empty]
Samsung SGH-D728,Smartphone,Samsung,[empty],Symbian OS,7.0s,[empty],S60 2nd Edition  version 2,[empty]
Samsung SGH-D730,Smartphone,Samsung,[empty],Symbian OS,7.0s,[empty],S60 2nd Edition  version 2,[empty]
Samsung SGH-G810,Smartphone,Samsung,[empty],Symbian OS,9.2,[empty],S60 3rd Edition  Feature Pack 1  version 3.1,[empty]
Samsung SGH-i400,Smartphone,Samsung,[empty],Symbian OS,9.2,[empty],S60 3rd Edition  Feature Pack 1  version 3.1,[empty]
Samsung SGH-i408,Smartphone,Samsung,[empty],Symbian OS,9.2,[empty],S60 3rd Edition  Feature Pack 1  version 3.1,[empty]
Samsung SGH-i450,Smartphone,Samsung,[empty],Symbian OS,9.2,[empty],S60 3rd Edition  Feature Pack 1  version 3.1,[empty]
Samsung SGH-i458,Smartphone,Samsung,[empty],Symbian OS,9.2,[empty],S60 3rd Edition  Feature Pack 1  version 3.1,[empty]
Samsung SGH-i520,Smartphone,Samsung,[empty],Symbian OS,9.2,[empty],S60 3rd Edition  Feature Pack 1  version 3.1,[empty]
Samsung SGH-i550,Smartphone,Samsung,[empty],Symbian OS,9.2,[empty],S60 3rd Edition  Feature Pack 1  version 3.1,[empty]
Samsung SGH-i550w,Smartphone,Samsung,[empty],Symbian OS,9.2,[empty],S60 3rd Edition  Feature Pack 1  version 3.1,[empty]
Samsung SGH-i560,Smartphone,Samsung,[empty],Symbian OS,9.2,[empty],S60 3rd Edition  Feature Pack 1  version 3.1,[empty]
Samsung SGH-i568,Smartphone,Samsung,[empty],Symbian OS,9.2,[empty],S60 3rd Edition  Feature Pack 1  version 3.1,[empty]
Samsung SGH-i570,Smartphone,Samsung,[empty],Symbian OS,9.1,[empty],S60 3rd Edition  version 3,[empty]
Samsung SGH-Z600,Smartphone,Samsung,[empty],Symbian OS,7.0s,[empty],S60 2nd Edition  version 2,[empty]
Sendo X,Smartphone,Sendo,[empty],Symbian OS,6.1,[empty],S60 1st Edition  Feature Pack 1  version 1.2,[empty]
Sendo X2,Smartphone,Sendo,[empty],Symbian OS,6.1,[empty],S60 1st Edition  Feature Pack 1  version 1.2,canceled  because Sendo went into administration
DoCoMo SH-07B,Feature phone,Sharp,[empty],Symbian^2,9.5,EKA2,MOAP(S),[empty]
Siemens SX1,Smartphone,Siemens,[empty],Symbian OS,6.1,[empty],S60 1st Edition  Feature Pack 1  version 1.2,[empty]
Sony Ericsson G700,Smartphone,Sony Ericsson,[empty],Symbian OS,9.1,[empty],UIQ 3.0,[empty]
Sony Ericsson G900,Smartphone,Sony Ericsson,[empty],Symbian OS,9.1,[empty],UIQ 3.0,[empty]
Sony Ericsson M600,Smartphone,Sony Ericsson,[empty],Symbian OS,9.1,[empty],UIQ 3.0,[empty]
Sony Ericsson P800,Smartphone,Sony Ericsson,[empty],Symbian OS,7.0,[empty],UIQ 2.0,First model with UIQ 2.0
Sony Ericsson P900,Smartphone,Sony Ericsson,[empty],Symbian OS,7.0,[empty],UIQ 2.1,[empty]
Sony Ericsson P910,Smartphone,Sony Ericsson,[empty],Symbian OS,7.0,[empty],UIQ 2.1,[empty]
Sony Ericsson P990,Smartphone,Sony Ericsson,[empty],Symbian OS,9.1,[empty],UIQ 3.0,First model with UIQ 3.0
Sony Ericsson P1,Smartphone,Sony Ericsson,[empty],Symbian OS,9.1,[empty],UIQ 3.0,[empty]
Sony Ericsson W950,Smartphone,Sony Ericsson,[empty],Symbian OS,9.1,[empty],UIQ 3.0,[empty]
Sony Ericsson W960,Smartphone,Sony Ericsson,[empty],Symbian OS,9.1,[empty],UIQ 3.0,[empty]
Sony Ericsson Satio,Smartphone,Sony Ericsson,[empty],Symbian^1,9.4,EKA2,S60 5th Edition  version 5,[empty]
Sony Ericsson Vivaz,Smartphone,Sony Ericsson,[empty],Symbian^1,9.4,EKA2,S60 5th Edition  version 5,[empty]
Sony Ericsson Vivaz Pro,Smartphone,Sony Ericsson,[empty],Symbian^1,9.4,EKA2,S60 5th Edition  version 5,[empty]
